feature,family,role,new_candidate,cutoff_day,swap_parity,availability,units,evidence
diff_opp_three_share,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
diff_rank_consensus_logit,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
rate_blocked_shots_offense,blocked_shots,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
adjusted_blocked_shots_offense,blocked_shots,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
rate_blocked_shots_defense,blocked_shots,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
adjusted_blocked_shots_defense,blocked_shots,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
rate_free_throw_pressure_offense,free_throw_pressure,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
adjusted_free_throw_pressure_offense,free_throw_pressure,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
rate_free_throw_pressure_defense,free_throw_pressure,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
adjusted_free_throw_pressure_defense,free_throw_pressure,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
duplicate_control_1,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
duplicate_control_2,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
duplicate_control_3,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
duplicate_control_4,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; keep/reject only after controlled Brier comparisons
