feature,family,role,new_candidate,cutoff_day,swap_parity,availability,units,evidence,interpretation
diff_free_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_opp_two_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_opp_three_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_opp_free_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_three_share,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_opp_three_share,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_rank_consensus_logit,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
rate_three_point_share_offense,three_point_share,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
adjusted_three_point_share_offense,three_point_share,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
rate_three_point_share_defense,three_point_share,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
adjusted_three_point_share_defense,three_point_share,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
rate_free_throw_share_offense,free_throw_share,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
adjusted_free_throw_share_offense,free_throw_share,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
rate_free_throw_share_defense,free_throw_share,unadjusted_rate_control,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
adjusted_free_throw_share_defense,free_throw_share,candidate,True,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
duplicate_control_1,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
duplicate_control_2,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
duplicate_control_3,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
duplicate_control_4,duplication_sensitivity,diagnostic_only,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
