Feature,Block,Universe,Availability,Source,TemporalRule,Direction,Notes,PresentInTeamStore,PresentInHistoricalMatchups,PresentInStage2Matchups,InAnyCandidateSet,TargetDerivedPrior,RequiresFoldFittedPreprocessing
absdiff__compact__last20_margin_mean,compact_performance,compact,common,compact__last20_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last20_margin_median,compact_performance,compact,common,compact__last20_margin_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last20_margin_std,compact_performance,compact,common,compact__last20_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last20_win_pct,compact_performance,compact,common,compact__last20_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last5_margin_mean,compact_performance,compact,common,compact__last5_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last5_margin_median,compact_performance,compact,common,compact__last5_margin_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last5_margin_std,compact_performance,compact,common,compact__last5_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__last5_win_pct,compact_performance,compact,common,compact__last5_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_iqr,compact_performance,compact,common,compact__margin_iqr,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_mad,compact_performance,compact,common,compact__margin_mad,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_mean,compact_performance,compact,common,compact__margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_median,compact_performance,compact,common,compact__margin_median,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_q10,compact_performance,compact,common,compact__margin_q10,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_q25,compact_performance,compact,common,compact__margin_q25,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_q75,compact_performance,compact,common,compact__margin_q75,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_q90,compact_performance,compact,common,compact__margin_q90,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_slope,compact_performance,compact,common,compact__margin_slope,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_std,compact_performance,compact,common,compact__margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_trim02,compact_performance,compact,common,compact__margin_trim02,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__margin_winsor02,compact_performance,compact,common,compact__margin_winsor02,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__neutral_margin_mean,compact_performance,compact,common,compact__neutral_margin_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__neutral_margin_std,compact_performance,compact,common,compact__neutral_margin_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__neutral_win_pct,compact_performance,compact,common,compact__neutral_win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_exp10p0,compact_performance,compact,common,compact__pythag_exp10p0,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_exp11p5,compact_performance,compact,common,compact__pythag_exp11p5,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_exp13p91,compact_performance,compact,common,compact__pythag_exp13p91,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_exp8p0,compact_performance,compact,common,compact__pythag_exp8p0,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_residual_exp10p0,compact_performance,compact,common,compact__pythag_residual_exp10p0,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_residual_exp11p5,compact_performance,compact,common,compact__pythag_residual_exp11p5,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_residual_exp13p91,compact_performance,compact,common,compact__pythag_residual_exp13p91,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__pythag_residual_exp8p0,compact_performance,compact,common,compact__pythag_residual_exp8p0,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__rest_days_mean,compact_performance,compact,common,compact__rest_days_mean,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__rest_days_std,compact_performance,compact,common,compact__rest_days_std,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
absdiff__compact__win_pct,compact_performance,compact,common,compact__win_pct,same-season regular season through DayNum 132,larger_means_greater_matchup_separation,Absolute Team1-Team2 gap.,False,True,True,True,False,True
compact__away_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__away_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__away_margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__away_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__blowout_loss10_rate,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__blowout_loss20_rate,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__blowout_win10_rate,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__blowout_win20_rate,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close3_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close3_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close3_wins,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close5_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close5_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__close5_wins,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day110plus_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day110plus_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day110plus_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day120plus_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day120plus_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day120plus_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day90plus_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day90plus_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__day90plus_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__days_since_last_game,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__downside_tail_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h10_margin,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h10_points_against,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h10_points_for,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h10_win,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h20_margin,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h20_points_against,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h20_points_for,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h20_win,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h5_margin,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h5_points_against,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h5_points_for,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__ewm_h5_win,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__first_game_day,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_delta_marginmean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_delta_pointsagainstmean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_delta_pointsformean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_delta_winpct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_marginmean_first,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_marginmean_second,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_pointsagainstmean_first,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_pointsagainstmean_second,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_pointsformean_first,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_pointsformean_second,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_winpct_first,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__half_winpct_second,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__home_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__home_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__home_margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__home_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_margin_median,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_points_against_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_points_for_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last10_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_margin_median,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_points_against_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_points_for_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last20_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_games,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_margin_median,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_points_against_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_points_for_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last5_win_pct,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__last_game_day,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__losses,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_iqr,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_mad,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_mean,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_median,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_q10,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_q25,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_q75,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_q90,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_slope,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_std,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_trim02,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
compact__margin_winsor02,compact_performance,compact,common,team_game_compact_long + team_season_snapshot_base,same-season regular season through DayNum 132,higher_or_lower_by_definition,,True,False,False,False,False,True
